WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
53	45.000	98.452	0.699	0.301	-0.000	0.193143	0.193143
82	45.000	98.988	0.697	0.303	0.000	0.19563	0.19563
34	45.000	99.370	0.698	0.302	-0.000	0.195832	0.195832
20	45.000	99.423	0.694	0.306	-0.000	0.198713	0.198713
21	45.000	100.210	0.660	0.340	0.000	0.221146	0.221146
38	45.000	100.477	0.699	0.301	-0.000	0.197997	0.197997
49	45.000	100.716	0.695	0.305	-0.000	0.20087	0.20087
35	45.000	101.063	0.699	0.301	0.000	0.199344	0.199344
68	45.000	102.240	0.696	0.304	0.000	0.203758	0.203758
79	45.000	103.800	0.651	0.349	-0.000	0.235898	0.235898
51	45.000	104.243	0.696	0.304	0.000	0.207978	0.207978
11	45.000	104.876	0.654	0.346	0.000	0.23675	0.23675
33	45.000	105.333	0.690	0.310	0.000	0.214346	0.214346
69	45.000	106.943	0.692	0.308	-0.000	0.217055	0.217055
62	45.000	109.786	0.580	0.420	-0.000	0.298449	0.298449
56	45.000	109.968	0.641	0.359	0.000	0.258732	0.258732
18	45.000	112.084	0.690	0.310	-0.000	0.229447	0.229447
36	45.000	112.653	0.692	0.308	-0.000	0.229578	0.229578
67	45.000	115.948	0.637	0.363	-0.000	0.276769	0.276769
55	45.000	116.799	0.686	0.314	0.000	0.243125	0.243125
3	45.000	117.824	0.579	0.421	0.000	0.32397	0.32397
48	45.000	118.427	0.682	0.318	-0.000	0.250364	0.250364
52	45.000	119.302	0.692	0.308	-0.000	0.244386	0.244386
72	45.000	123.610	0.631	0.369	0.000	0.302326	0.302326
40	45.000	124.226	0.693	0.307	-0.000	0.254607	0.254607
4	45.000	125.633	0.684	0.316	0.000	0.265284	0.265284
22	45.000	126.544	0.628	0.372	-0.000	0.31251	0.31251
37	45.000	132.518	0.668	0.332	0.000	0.294825	0.294825
64	45.000	132.794	0.619	0.381	0.000	0.336805	0.336805
2	45.000	135.762	0.672	0.328	-0.000	0.298904	0.298904
41	45.000	136.143	0.675	0.325	0.000	0.29725	0.29725
66	45.000	139.532	0.666	0.334	0.000	0.31305	0.31305
10	45.000	140.789	0.668	0.332	0.000	0.314312	0.314312
21	45.000	142.162	0.660	0.340	0.000	0.324605	0.324605
86	45.000	144.956	0.562	0.438	0.000	0.421607	0.421607
77	45.000	148.484	0.603	0.397	0.000	0.395949	0.395949
79	45.000	149.319	0.651	0.349	-0.000	0.351213	0.351213
11	45.000	152.555	0.654	0.346	0.000	0.35564	0.35564
